Claim,PredictedClaim
Yes,no
No,No
Yes,no
Yes,Yes
Yes,no
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
Yes,no
No,No
No,No
Yes,no
No,Yes
Yes,Yes
Yes,Yes
Yes,no
No,No
No,No
No,No
No,No
Yes,Yes
No,No
Yes,no
No,No
Yes,Yes
No,No
Yes,no
No,No
Yes,Yes
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
No,No
No,No
No,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,Yes
No,No
Yes,no
No,No
Yes,Yes
Yes,no
Yes,Yes
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
No,No
Yes,no
No,No
No,No
No,No
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,Yes
No,No
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
No,Yes
Yes,no
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
Yes,no
No,No
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
No,No
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,no
Yes,no
No,Yes
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
Yes,Yes
Yes,Yes
No,No
No,No
No,No
Yes,no
No,Yes
Yes,no
No,No
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
No,No
No,No
No,Yes
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,no
No,No
Yes,Yes
Yes,Yes
No,No
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,no
No,No
No,No
No,No
Yes,no
No,Yes
No,No
Yes,Yes
Yes,Yes
No,No
Yes,no
No,No
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,Yes
Yes,Yes
No,No
No,No
No,No
No,No
Yes,Yes
Yes,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,Yes
No,No
No,No
Yes,no
Yes,Yes
No,No
No,No
Yes,Yes
No,Yes
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
Yes,Yes
Yes,Yes
Yes,no
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,no
Yes,Yes
No,No
Yes,Yes
Yes,no
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
No,No
No,No
No,No
Yes,no
Yes,Yes
Yes,Yes
No,No
No,No
No,No
No,No
No,No
No,No
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,no
Yes,no
No,No
Yes,Yes
Yes,no
No,No
No,No
Yes,no
No,No
No,No
No,No
No,No
Yes,no
Yes,no
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
No,No
No,No
Yes,Yes
No,No
No,Yes
Yes,Yes
Yes,no
No,No
No,No
No,No
No,No
No,No
Yes,Yes
Yes,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
Yes,no
No,No
No,No
No,No
Yes,Yes
Yes,no
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
No,No
No,No
Yes,no
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
No,No
Yes,Yes
Yes,Yes
No,No
Yes,no
No,No
No,No
Yes,Yes
Yes,no
Yes,Yes
Yes,Yes
No,No
Yes,no
No,No
Yes,no
No,No
No,No
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
No,No
Yes,no
Yes,Yes
No,No
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
Yes,no
No,No
Yes,Yes
No,No
No,Yes
No,No
No,No
No,No
No,No
No,No
Yes,no
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
No,No
Yes,no
Yes,Yes
Yes,Yes
No,No
No,No
No,No
Yes,Yes
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,Yes
Yes,no
No,No
No,No
No,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,no
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,no
No,No
Yes,no
No,No
No,No
No,No
Yes,no
Yes,Yes
No,No
No,No
Yes,Yes
Yes,no
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
No,No
Yes,no
No,No
No,No
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,Yes
No,No
No,No
No,No
Yes,no
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Yes,no
Yes,Yes
No,No
No,No
Yes,no
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,no
No,No
No,No
Yes,Yes
Yes,Yes
Yes,no
No,No
Yes,no
No,No
No,No
Yes,no
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,no
No,No
Yes,Yes
No,No
Yes,Yes
No,No
Yes,no
No,No
Yes,Yes
Yes,Yes
No,No
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
No,No
No,No
Yes,Yes
Yes,no
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,no
Yes,Yes
Yes,Yes
Yes,no
No,No
No,No
Yes,Yes
No,No
No,No
No,No
Yes,no
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,No
No,No
No,No
Yes,Yes
Yes,Yes
No,No
Yes,no
No,No
No,No
Yes,Yes
No,No
No,No
No,No
Yes,no
No,No
Yes,no
No,No
No,No
Yes,Yes
No,No
Yes,no
No,No
No,No
Yes,Yes
No,No
No,Yes
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
Yes,no
No,No
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
Yes,no
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
No,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,no
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,No
No,No
No,Yes
Yes,no
Yes,no
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,no
Yes,Yes
No,No
No,No
No,No
Yes,Yes
Yes,Yes
No,No
Yes,no
Yes,Yes
No,No
No,No
Yes,no
No,No
No,No
No,No
No,No
Yes,Yes
Yes,Yes
Yes,no
No,No
No,No
No,No
Yes,Yes
No,No
No,No
Yes,no
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,Yes
No,No
Yes,no
Yes,no
Yes,no
No,No
No,Yes
No,No
No,No
No,No
No,No
Yes,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Yes,no
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,no
No,No
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
No,No
Yes,no
No,No
No,No
Yes,no
Yes,no
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,Yes
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,Yes
No,No
No,No
No,No
Yes,Yes
No,No
No,No
No,No
Yes,Yes
Yes,Yes
Yes,no
No,No
Yes,no
No,No
No,No
No,No
No,No
Yes,Yes
Yes,Yes
No,Yes
No,Yes
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
Yes,no
No,No
Yes,no
No,No
No,No
Yes,Yes
Yes,no
Yes,no
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
Yes,no
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
No,No
No,No
Yes,no
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
No,No
Yes,no
Yes,Yes
No,No
No,No
Yes,Yes
Yes,no
No,No
No,No
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
No,No
No,No
Yes,no
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,No
No,No
No,No
No,No
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,no
No,No
No,No
Yes,Yes
Yes,Yes
No,No
Yes,no
No,No
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
Yes,no
No,No
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,no
No,No
Yes,Yes
No,No
Yes,Yes
Yes,no
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Yes,no
No,No
No,No
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
No,No
Yes,Yes
Yes,no
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,no
Yes,no
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
No,No
Yes,no
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,No
No,No
No,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
No,No
No,No
No,No
Yes,Yes
Yes,Yes
Yes,no
No,No
No,No
No,No
Yes,Yes
Yes,no
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,no
Yes,no
No,No
No,No
No,No
Yes,Yes
Yes,no
No,No
No,No
Yes,Yes
No,Yes
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
No,No
No,No
No,No
No,No
Yes,no
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,no
No,No
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
No,No
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
No,No
Yes,no
Yes,Yes
Yes,Yes
No,No
Yes,no
No,No
Yes,Yes
No,No
No,No
Yes,no
Yes,Yes
No,No
No,No
No,No
No,No
Yes,Yes
Yes,Yes
No,No
No,No
No,No
No,No
Yes,Yes
No,No
Yes,no
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
No,No
Yes,no
No,No
Yes,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,no
No,No
No,No
Yes,Yes
Yes,no
No,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
No,No
Yes,no
No,No
No,No
Yes,Yes
Yes,Yes
No,No
Yes,no
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
No,No
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
No,No
Yes,Yes
No,Yes
No,No
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,no
No,No
No,No
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,Yes
No,No
No,No
No,Yes
No,No
No,No
Yes,Yes
Yes,Yes
No,No
No,No
No,No
No,No
No,No
Yes,no
Yes,Yes
No,No
Yes,no
No,No
No,No
Yes,Yes
Yes,no
Yes,Yes
No,No
No,No
No,Yes
No,No
Yes,Yes
Yes,no
No,No
Yes,Yes
No,Yes
No,No
No,No
No,No
No,No
No,No
Yes,Yes
Yes,Yes
No,No
No,No
No,No
No,No
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,no
No,No
Yes,Yes
Yes,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
Yes,no
No,No
Yes,Yes
No,No
No,No
No,No
Yes,no
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
No,No
No,No
No,No
Yes,no
No,No
No,No
No,No
Yes,Yes
No,No
Yes,Yes
Yes,no
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
No,No
Yes,Yes
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
Yes,no
Yes,Yes
No,No
No,No
No,No
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,Yes
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,No
No,No
Yes,no
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
No,No
Yes,no
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
Yes,no
Yes,Yes
No,No
No,No
No,No
Yes,no
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
Yes,no
No,No
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
No,No
Yes,no
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
No,No
Yes,Yes
Yes,Yes
Yes,no
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
Yes,no
No,No
No,No
Yes,no
Yes,no
No,No
Yes,no
Yes,Yes
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Yes,Yes
Yes,Yes
No,No
No,No
No,Yes
No,No
No,No
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
Yes,no
Yes,no
No,No
No,No
Yes,Yes
Yes,Yes
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,Yes
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
No,No
Yes,Yes
Yes,no
No,No
No,No
No,No
Yes,no
No,Yes
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
No,Yes
Yes,Yes
No,No
Yes,no
No,No
No,No
No,No
Yes,Yes
Yes,no
Yes,Yes
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
No,No
Yes,no
Yes,no
Yes,no
No,No
Yes,Yes
Yes,no
No,No
No,No
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
Yes,no
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
No,No
Yes,no
No,No
No,No
Yes,Yes
No,No
No,No
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
No,No
Yes,Yes
No,No
Yes,no
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,no
Yes,Yes
No,No
No,No
Yes,Yes
No,No
No,No
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
No,No
No,No
No,No
Yes,no
Yes,no
No,No
No,No
No,No
No,No
Yes,Yes
Yes,no
Yes,Yes
No,No
No,No
No,Yes
No,No
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
No,No
Yes,Yes
No,No
No,No
Yes,Yes
No,No
Yes,Yes
No,No
